danceable,not_danceable,aggressive,not_aggressive,happy,not_happy,party,not_party,relaxed,not_relaxed,sad,not_sad,bright,dark,atonal,tonal,instrumental,voice
0.999999761581,2.31413693541e-07,0.0420332141221,0.957966804504,0.106619730592,0.893380284309,0.996346533298,0.00365347112529,0.140045687556,0.859954297543,0.0176940783858,0.982305943966,0.179447665811,0.820552349091,0.997201919556,0.00279807718471,0.0970880910754,0.902911901474
0.999981582165,1.84050859389e-05,0.8834400177,0.116560004652,0.10301335156,0.896986663342,0.962547957897,0.0374520123005,0.348703384399,0.651296615601,0.00797722674906,0.992022752762,0.00207994692028,0.997920036316,0.995263636112,0.00473634991795,0.0190802179277,0.980919778347
0.999555468559,0.000444509758381,0.267726451159,0.732273519039,0.538863420486,0.461136609316,0.913975954056,0.0860240459442,0.305742710829,0.694257259369,0.0742586925626,0.925741314888,0.133021652699,0.866978347301,0.959844946861,0.0401550456882,0.00192442256957,0.998075604439
0.99990862608,9.14027768886e-05,0.824179708958,0.175820305943,0.766214132309,0.23378585279,0.688924252987,0.311075747013,0.660775125027,0.339224904776,0.65116328001,0.348836690187,0.0798036381602,0.920196354389,0.866475343704,0.133524626493,0.321810394526,0.678189635277
0.999999880791,1.00000008274e-07,0.997299790382,0.00270018610172,0.139999181032,0.86000084877,0.981588363647,0.0184116363525,0.951368510723,0.0486314967275,0.992612600327,0.00738742435351,0.99999922514,7.99813847152e-07,0.999993145466,6.83793041389e-06,0.0578538104892,0.94214618206
0.216793000698,0.783206999302,0.0529024936259,0.947097480297,0.420562654734,0.579437375069,0.195465758443,0.804534256458,0.905015707016,0.0949843004346,0.559808671474,0.440191328526,0.000716363952961,0.999283611774,0.996123671532,0.00387632567436,0.85143840313,0.148561581969
0.956295251846,0.0437047556043,0.0112630249932,0.988736987114,0.141541972756,0.858458042145,0.396836131811,0.603163897991,0.984522759914,0.0154772307724,0.316690146923,0.683309853077,0.00823162123561,0.991768360138,0.999999701977,3.23243767753e-07,0.467948406935,0.532051563263
0.997538566589,0.00246142409742,0.0480001233518,0.951999902725,0.267002791166,0.732997238636,0.777883946896,0.222116038203,0.924765110016,0.0752349048853,0.111683674157,0.888316333294,0.519138395786,0.480861574411,0.999996721745,3.29033377966e-06,0.00563280330971,0.994367182255
0.806123018265,0.193876966834,0.0254218429327,0.974578142166,0.699689507484,0.300310492516,0.196230754256,0.803769230843,0.853031277657,0.146968722343,0.186482176185,0.813517808914,0.025032164529,0.974967837334,0.611269235611,0.388730794191,0.937070548534,0.0629294663668
0.49000325799,0.509996712208,0.00712394667789,0.992876052856,0.147330179811,0.852669835091,0.5,0.5,0.988675951958,0.0113240629435,0.5,0.5,0.00346356793307,0.996536433697,0.980654478073,0.0193455293775,0.91325378418,0.0867462009192
0.999999880791,1.00000008274e-07,0.997299790382,0.00270018610172,0.732744336128,0.267255693674,0.963488817215,0.036511156708,0.951368510723,0.0486314967275,0.992612600327,0.00738742435351,0.99999922514,7.99813847152e-07,0.995974481106,0.00402551796287,0.000847903138492,0.999152123928
0.999999880791,1.00000008274e-07,0.997299790382,0.00270018610172,0.5382604599,0.461739569902,0.5,0.5,0.951368510723,0.0486314967275,0.992612600327,0.00738742435351,0.99999922514,7.99813847152e-07,0.096857920289,0.903142094612,0.974704504013,0.025295490399
0.781866848469,0.218133151531,0.0881661996245,0.911833822727,0.716497838497,0.283502161503,0.642032265663,0.357967734337,0.704487800598,0.295512199402,0.0774817019701,0.922518312931,0.954617261887,0.0453827343881,0.98943144083,0.010568568483,0.939155459404,0.060844540596
0.999016344547,0.000983663718216,0.0953446254134,0.904655396938,0.00139672786463,0.998603284359,0.89111328125,0.108886733651,0.887285172939,0.112714804709,0.178306251764,0.821693718433,0.000907768961042,0.99909222126,0.930618822575,0.069381184876,0.232960358262,0.767039656639
0.999835252762,0.000164722659974,0.986536324024,0.013463688083,0.99998986721,1.01270397863e-05,0.987559020519,0.0124409878626,0.294841051102,0.705158948898,0.0381196476519,0.961880326271,0.000284157518763,0.999715864658,1,2.21209113249e-08,0.0998124405742,0.900187551975
0.994837880135,0.00516214082018,0.209977954626,0.790022015572,0.0303481724113,0.969651818275,0.957822561264,0.0421774461865,0.849812626839,0.150187402964,0.0580713823438,0.941928625107,0.016304384917,0.983695626259,0.999997377396,2.60611295744e-06,0.612606346607,0.387393653393
0.999999880791,1.00000008274e-07,0.62576508522,0.37423491478,0.634927451611,0.365072548389,0.906661689281,0.0933383330703,0.617712914944,0.382287055254,0.0193895343691,0.980610489845,7.491629367e-05,0.999925076962,1,3.00000096379e-14,0.210812419653,0.789187610149
0.990643322468,0.00935665145516,0.118243955076,0.881756067276,0.468273133039,0.531726896763,0.686097979546,0.313901990652,0.750793278217,0.249206721783,0.384431809187,0.615568161011,0.816394209862,0.183605760336,0.718763411045,0.281236559153,0.191999778152,0.808000206947
0.999999880791,1.00000008274e-07,0.946332216263,0.0536677613854,0.521960556507,0.478039413691,0.975333571434,0.0246664155275,0.967408299446,0.0325917191803,0.0156014142558,0.984398603439,0.00123643886764,0.998763561249,1,1.15615058759e-12,0.973461031914,0.0265389624983
0.99999833107,1.65298422417e-06,0.103393688798,0.896606326103,0.524458825588,0.475541204214,0.880910158157,0.11908981204,0.92288517952,0.0771148130298,0.193884924054,0.806115090847,0.0771988853812,0.922801136971,1,8.20878295893e-11,0.670693576336,0.329306423664
0.96343511343,0.03656488657,0.0544270798564,0.945572912693,0.388271152973,0.611728847027,0.566568136215,0.433431863785,0.990158140659,0.00984183978289,0.165307223797,0.834692776203,0.690054178238,0.30994579196,0.943791389465,0.0562086328864,0.621179878712,0.378820151091
0.632168412209,0.367831617594,0.037830684334,0.962169289589,0.406463593245,0.593536376953,0.108747698367,0.891252279282,0.981929302216,0.0180706884712,0.208326622844,0.791673362255,0.00754315080121,0.99245685339,1,1.87438189414e-08,1,1.17226646168e-08
0.625362157822,0.374637812376,0.0253614392132,0.974638581276,0.370741456747,0.629258513451,0.245093554258,0.754906415939,0.788065254688,0.211934760213,0.221485808492,0.778514206409,0.0322217009962,0.967778325081,0.961355745792,0.0386442691088,0.986725211143,0.0132747916505
0.0557323433459,0.944267630577,0.00103777484037,0.99896222353,0.899341464043,0.100658543408,0.0107840560377,0.989215970039,0.920183718204,0.0798162594438,0.812748551369,0.187251448631,0.904801428318,0.0951985791326,0.0229242350906,0.977075755596,0.451161235571,0.548838794231
0.999999880791,1.00000008274e-07,0.997299790382,0.00270018610172,0.186566501856,0.813433468342,0.977032244205,0.0229677315801,0.951368510723,0.0486314967275,0.992612600327,0.00738742435351,0.0172969698906,0.982703030109,0.686125338078,0.313874661922,0.0529914200306,0.947008609772
0.990643322468,0.00935665145516,0.118243955076,0.881756067276,0.468273133039,0.531726896763,0.686097979546,0.313901990652,0.750793278217,0.249206721783,0.384431809187,0.615568161011,0.816394209862,0.183605760336,0.718763411045,0.281236559153,0.191999778152,0.808000206947
0.99995136261,4.86126809847e-05,0.0326009690762,0.967399060726,0.269777357578,0.730222642422,0.907387495041,0.0926124826074,0.222900465131,0.77709954977,0.126819431782,0.873180568218,0.688774168491,0.311225831509,0.990591883659,0.00940810609609,0.673932313919,0.326067686081
0.0192563049495,0.980743706226,0.000356260803528,0.999643743038,0.944078564644,0.0559214241803,0.00678340345621,0.993216574192,0.799906015396,0.200093969703,0.922311723232,0.0776882693172,0.70472162962,0.29527837038,0.165962219238,0.834037780762,0.940999150276,0.0590008422732
0.997642278671,0.00235770177096,0.659564673901,0.340435355902,0.479163259268,0.52083671093,0.900234997272,0.0997650027275,0.331399470568,0.668600559235,0.0171205010265,0.982879519463,0.0598172806203,0.940182745457,0.815861463547,0.184138521552,0.0061845802702,0.993815422058
0.999999880791,1.00000008274e-07,0.997299790382,0.00270018610172,0.107335194945,0.892664790154,0.858417212963,0.141582787037,0.951368510723,0.0486314967275,0.992612600327,0.00738742435351,0.00256487727165,0.997435152531,0.889830350876,0.110169664025,0.666993737221,0.333006232977
0.992756664753,0.0072433562018,0.0142021160573,0.98579788208,0.345815449953,0.654184579849,0.842397809029,0.157602190971,0.950303375721,0.0496966429055,0.210198312998,0.789801716805,0.00241456390359,0.99758541584,0.999999523163,4.62997888917e-07,0.824175298214,0.175824716687
0.963263273239,0.0367367118597,0.711279630661,0.288720369339,0.328824579716,0.671175420284,0.956140041351,0.0438599698246,0.637151539326,0.362848460674,0.11948107928,0.880518913269,0.0248292796314,0.975170731544,0.994287788868,0.00571220787242,0.943353056908,0.0566469542682
